Type,Steps
A,644
A,530
A,780
A,885
A,884
A,1392
A,870
A,684
A,1122
A,1058
A,713
A,879
A,915
A,685
A,1275
A,1021
A,673
A,747
A,706
A,1125
A,644
A,530
A,780
A,885
A,884
A,1392
A,870
A,684
A,1122
A,1058
A,623
A,1261
A,1190
A,1361
A,630
A,1159
A,1444
A,699
A,692
A,693
A,963
A,627
A,684
A,635
A,1037
A,955
A,652
A,1057
A,716
A,782
A,579
A,807
A,753
A,1221
A,692
A,644
A,817
A,699
A,602
A,822
A,933
A,638
A,810
A,486
A,591
A,579
A,935
A,1053
A,607
A,804
B,819
B,722
B,694
B,711
B,793
B,756
B,783
B,722
B,687
B,634
B,589
B,921
B,831
B,831
B,840
B,673
B,1014
B,637
B,1120
B,880
B,654
B,694
B,850
B,1187
B,857
B,642
B,886
B,693
B,705
B,1227
B,602
B,669
B,799
B,783
B,848
B,1034
B,782
B,843
B,542
B,934
B,627
B,888
B,750
B,1111
B,601
B,618
B,752
B,701
B,939
B,670
B,875
B,1032
B,830
B,662
B,624
B,742
B,797
B,676
B,1072
B,547
B,782
B,683
B,1163
B,656
B,1599
B,809
B,651
B,970
B,819
B,722
B,694
B,711
B,793
B,756
B,783
B,722
B,687
B,634
B,589
B,921
B,831
B,831
B,840
B,673
B,1014
B,637
B,1120
B,880
B,654
B,694
B,850
B,1187
B,857
B,642
B,886
B,693
B,705
B,1227
B,602
B,669
B,799
B,1019
B,422
B,650
B,630
B,690
B,724
B,942
B,755
B,843
B,1615
B,562
B,642
B,727
B,976
B,620
B,1091
B,739
B,687
B,919
B,664
B,578
B,760
B,583
B,1287
B,461
B,1658
B,743
B,919
B,711
B,836
B,892
B,1141
B,535
B,988
B,721
B,574
B,695
B,882
B,624
B,601
B,995
B,757
B,1140
B,747
B,610
B,692
B,737
B,612
B,1743
B,729
B,833
B,757
B,618
B,627
B,930
B,1059
B,627
B,747
B,621
B,766
B,926
B,921
B,824
B,720
B,1139
B,775
B,483
B,924
B,1115
B,700
B,770
B,691
B,728
B,728
B,810
B,790
B,545
B,902
B,742
B,486
B,675
B,691
B,1578
B,763
B,761
B,436
B,530
B,778
B,729
B,962
B,773
B,585
B,704
B,784
B,716
B,730
B,605
B,1041
B,683
B,799
B,621
B,703
B,519
B,625
B,854
B,602
B,667
B,636
B,642
B,594
B,696
B,915
B,656
B,726
B,794
B,751
B,584
B,707
B,661
B,1285
B,1044
B,1539
B,532
B,729
B,752
B,549
B,530
B,690
B,632
B,660
B,650
B,987
B,811
C,595
C,594
C,481
C,1087
C,774
C,633
C,788
C,600
C,482
C,838
C,619
C,647
C,1294
C,575
C,1071
C,586
C,680
C,1050
C,556
C,831
C,595
C,594
C,481
C,1087
C,774
C,633
C,788
C,600
C,482
C,838
C,812
C,642
C,566
C,838
C,918
C,646
C,563
C,814
C,869
C,815
C,921
C,658
C,864
C,624
C,780
C,780
C,656
C,765
C,1471
C,461
C,933
C,821
C,825
C,992
C,643
C,722
C,539
C,955
C,1015
C,644
C,749
C,670
C,1029
C,684
C,769
C,596
C,650
C,796
C,616
C,762
